category,service,price,billingCycle,scopeOfWork
tis changed hahahahaha,Custom landing page design & development,2500.0,One-off,We will design and develop a fully responsive custom landing page to meet your specific business goals. This includes UI/UX design coding and deployment.
Web Development and related shit necessary,E-commerce store setup with payment integration,8000.0,One-off,Full setup of your e-commerce store on a platform of your choice including payment gateway integration and product uploads.
Web Development and related shit necessary,Progressive web app development,12000.0,One-off,Development of a high-performance Progressive Web App (PWA) that works offline and provides a native-app-like experience.
Web Development and related shit necessary,API integration & backend services,5000.0,Monthly,Integration of third-party APIs and development of custom backend services to power your application's functionality.
Web Development and related shit necessary,Website performance optimization,1500.0,Monthly,We will analyze and optimize your website's loading speed and overall performance for a better user experience and SEO.
Mobile Apps,iOS native application development,25000.0,One-off,Full-cycle development of a native iOS application from UI/UX design to App Store submission.
Mobile Apps,Android native application development,22000.0,One-off,Full-cycle development of a native Android application from UI/UX design to Google Play Store submission.
Mobile Apps,Cross-platform React Native app,18000.0,One-off,Development of a cross-platform application using React Native saving time and cost while targeting both iOS and Android.
Mobile Apps,App store submission & optimization,800.0,One-off,We will handle the entire app store submission process including optimizing your app's listing for maximum visibility.
Mobile Apps,Push notification system integration,2000.0,Monthly,Integration of a push notification system to engage with your users and send timely updates.
Brand Identity,Logo design with brand guidelines,3500.0,One-off,Creation of a unique logo and a comprehensive brand guide that defines your brand's visual identity.
Brand Identity,Complete visual identity package,8000.0,One-off,A complete visual identity package including logo color palette typography and other brand assets.
Brand Identity,Brand strategy & positioning,5000.0,One-off,We will help you define your brand's strategy and positioning in the market to attract your target audience.
Brand Identity,Stationery & collateral design,2000.0,One-off,Design of professional stationery and marketing collateral that reflects your brand's identity.
UI/UX Design,User research & persona development,4000.0,One-off,In-depth user research to create detailed user personas that will inform the design process.
UI/UX Design,Wireframing & prototyping,3500.0,One-off,Creation of low and high-fidelity wireframes and interactive prototypes to visualize the user flow and app structure.
UI/UX Design,High-fidelity UI design,6000.0,One-off,Creation of a pixel-perfect high-fidelity UI design for your web or mobile application.
UI/UX Design,Design system creation,8000.0,Yearly,Development of a comprehensive design system with reusable components to ensure brand consistency and speed up development.
UI/UX Design,Usability testing & iteration,3000.0,Monthly,We will conduct usability tests with real users to identify pain points and iterate on the design for a better user experience.
Marketing,Social media strategy & management,2500.0,Monthly,Development of a social media strategy and ongoing management of your social media channels to grow your online presence.
Marketing,Content marketing & copywriting,3000.0,Monthly,Creation of high-quality content and compelling copy to attract and engage your target audience.
Marketing,SEO optimization package,4000.0,Monthly,A comprehensive SEO package to improve your website's ranking on search engines and drive organic traffic.
Marketing,Email marketing campaigns,1800.0,Quarterly,Planning execution and analysis of email marketing campaigns to nurture leads and drive conversions.
Marketing,Paid advertising management,2000.0,Quarterly,Management of your paid advertising campaigns on platforms like Google Ads and social media to maximize ROI.
Consulting,Technical architecture review,3500.0,One-off,A thorough review of your technical architecture to identify potential issues and recommend improvements for scalability and performance.
Consulting,Digital transformation strategy,10000.0,One-off,We will help you develop a digital transformation strategy to modernize your business processes and stay competitive.
Consulting,Product roadmap planning,5000.0,One-off,We will work with you to create a detailed product roadmap that aligns with your business goals and user needs.
Consulting,Team training & workshops,2500.0,One-off,Customized training and workshops to upskill your team on the latest technologies and best practices.
Cloud Services,AWS/GCP infrastructure setup,6000.0,One-off,Setup and configuration of a scalable and secure cloud infrastructure on AWS or GCP to host your application.
Cloud Services,CI/CD pipeline implementation,4000.0,One-off,Implementation of a CI/CD pipeline to automate your build test and deployment process for faster and more reliable releases.
Cloud Services,Database design & optimization,5000.0,Monthly,Design and optimization of your database for performance scalability and reliability.
Cloud Services,Security audit & hardening,7000.0,Quarterly,A comprehensive security audit of your infrastructure and application to identify and fix vulnerabilities.
Cloud Services,24/7 monitoring & maintenance,3000.0,Monthly,24/7 monitoring of your systems and proactive maintenance to ensure high availability and performance.
Analytics,Analytics setup & configuration,2000.0,One-off,Setup and configuration of analytics tools to track key metrics and gain insights into user behavior.
Analytics,Custom dashboard development,4500.0,One-off,Development of custom dashboards to visualize your data and monitor your business KPIs in real-time.
Analytics,Data visualization & reporting,3500.0,Monthly,Creation of insightful data visualizations and reports to help you make data-driven decisions.
Analytics,Conversion optimization,3000.0,Monthly,We will analyze your user data to identify opportunities for conversion optimization and run A/B tests to improve your conversion rates.
